Planta,Explicacion
Dahlia,"Flor de bulbo conocida por sus colores vibrantes y su forma llamativa. Ideal para jardines, crece en verano y otoño."
Daisy,"Planta resistente de flores blancas con un centro amarillo. Es común en jardines y macetas, ideal para climas moderados."
Violet,"Planta pequeña con flores moradas o blancas, famosa por su fragancia dulce. Crece en suelos ricos y húmedos."
Crocus,"Flor que emerge a principios de la primavera, destacándose por su forma de campana y colores que van del morado al blanco."
Tulip,"Planta bulbosa con flores en forma de copa, en colores brillantes, muy popular en jardines de primavera."
Lily,Planta perenne que produce flores grandes y fragantes. Se cultiva en jardines y también es apreciada en ramos florales.
Orchid,Planta con flores exóticas que se cultiva en condiciones especiales. A menudo se usa para decoración en interiores.
Cactus,"Planta suculenta que puede vivir en ambientes áridos, se caracteriza por sus espinas y flores vibrantes que emergen de sus tallos."
Bamboo,"Planta tropical y perenne que crece rápidamente, conocida por sus tallos largos y finos. Se usa en decoración y construcción."
Fern,"Planta que se reproduce por esporas, con hojas finas en forma de helecho. Prefiere ambientes sombreados y húmedos."
Palm,"Árbol de hojas largas y finas, típico de climas tropicales. Se utiliza en paisajismo y es importante en la producción de aceite de palma."
Naranjo,"Arbol grande con frutos dulces o agridulces. Crece en zonas templanad muy utilizado en la agricultura.
"
